NOMCCPP	LONGITUDX	LATITUDY
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,4352161	-5,75939183
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44147945	-5,759619488
BAGUA GRANDE	-78,44369072	-5,760895437
BAGUA GRANDE	-78,44369072	-5,760895437
BAGUA GRANDE	-78,44369072	-5,760895437
BAGUA GRANDE	-78,44369072	-5,760895437
BAGUA GRANDE	-78,44369072	-5,760895437
BAGUA GRANDE	-78,44369072	-5,760895437
BAGUA GRANDE	-78,44369072	-5,760895437
BAGUA GRANDE	-78,44369072	-5,760895437
BAGUA GRANDE	-78,44369072	-5,760895437
BAGUA GRANDE	-78,44369072	-5,760895437
NUNYA JALCA	-78,31090962	-5,89797758
NUNYA JALCA	-78,31090962	-5,89797758
NUNYA JALCA	-78,31090962	-5,89797758
NUNYA JALCA	-78,31090962	-5,89797758
NUNYA JALCA	-78,31090962	-5,89797758
NUNYA JALCA	-78,31090962	-5,89797758
NUNYA JALCA	-78,31090962	-5,89797758
NUNYA JALCA	-78,31090962	-5,89797758
NUNYA JALCA	-78,31090962	-5,89797758
NUNYA JALCA	-78,31090962	-5,89797758
CAJARURO	-78,42918496	-5,738621747
