"FECHA";"HORA";"TEMPERATURA";"PRECIP";"HUMEDAD";"DIREC";"VELOCIDAD"
"04/10/2024";"23:00";"14.8";"0.0";92;323;"0.0"
"05/10/2024";"0:00";"15.2";"0.0";91;245;"0.8"
"05/10/2024";"1:00";"14.9";"0.0";91;268;"0.4"
"05/10/2024";"2:00";"14.7";"0.0";92;260;"0.0"
"05/10/2024";"3:00";"14.8";"0.0";92;289;"1.1"
"05/10/2024";"4:00";"14.3";"0.0";94;311;"0.7"
"05/10/2024";"5:00";"13.3";"0.0";95;313;"0.0"
"05/10/2024";"6:00";"13.2";"0.0";96;225;"0.0"
"05/10/2024";"7:00";"15.6";"0.0";95;295;"0.0"
"05/10/2024";"8:00";"19.5";"0.0";75;264;"1.3"
"05/10/2024";"9:00";"21.4";"0.0";71;291;"3.5"
"05/10/2024";"10:00";"22.3";"0.0";68;292;"3.5"
"05/10/2024";"11:00";"20.9";"0.0";70;284;"3.3"
